                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     88,                0.40406,                0.24629,                0.77868,                0.95926,                0.86354,                0.92147,                 0.8405,                0.30023,                0.19417,                0.78832,               0.004258,               0.004258,               0.004258
                     89,                0.40397,                 0.2444,                0.77769,                0.96051,                 0.8664,                0.92215,                0.83983,                 0.3012,                 0.1937,                0.78904,               0.004192,               0.004192,               0.004192
                     90,                0.40259,                0.24402,                0.77676,                0.96176,                0.86561,                0.92296,                0.83721,                0.30033,                0.19377,                0.78895,               0.004126,               0.004126,               0.004126
                     91,                0.40069,                0.24296,                0.77808,                0.96011,                0.86481,                0.92335,                0.83989,                0.29656,                0.19094,                 0.7883,                0.00406,                0.00406,                0.00406
                     92,                0.40187,                0.24336,                0.77676,                0.95978,                 0.8663,                0.92233,                0.84185,                0.29666,                0.19193,                0.78807,               0.003994,               0.003994,               0.003994
                     93,                0.39624,                0.24213,                 0.7769,                 0.9614,                0.86558,                0.92295,                0.84245,                0.29569,                0.19178,                0.78816,               0.003928,               0.003928,               0.003928
                     94,                 0.3925,                0.23833,                0.77678,                0.96471,                0.86606,                 0.9243,                 0.8375,                0.29554,                0.19153,                0.78758,               0.003862,               0.003862,               0.003862
                     95,                0.39202,                0.23666,                0.77577,                0.96317,                0.86688,                0.92407,                0.84195,                0.29457,                0.19072,                0.78718,               0.003796,               0.003796,               0.003796
                     96,                0.38872,                0.23613,                0.77662,                0.96272,                0.86687,                0.92308,                0.84502,                0.29438,                0.18825,                0.78696,                0.00373,                0.00373,                0.00373
                     97,                0.39214,                0.23536,                0.77624,                0.96173,                0.86634,                0.92275,                0.84217,                 0.2938,                0.18864,                0.78733,               0.003664,               0.003664,               0.003664
                     98,                0.38957,                0.23466,                0.77609,                 0.9596,                0.86789,                0.92361,                0.84597,                0.29049,                0.18684,                0.78691,               0.003598,               0.003598,               0.003598
                     99,                 0.3868,                 0.2344,                0.77642,                0.96288,                0.86662,                 0.9253,                0.84856,                0.29318,                0.18868,                0.78696,               0.003532,               0.003532,               0.003532
                    100,                0.38318,                0.23031,                0.77511,                0.95942,                0.86761,                0.92441,                0.84401,                0.29304,                0.18752,                0.78702,               0.003466,               0.003466,               0.003466
                    101,                0.38414,                0.23099,                0.77565,                0.96011,                0.86798,                0.92471,                0.84581,                0.29126,                0.18647,                0.78659,                 0.0034,                 0.0034,                 0.0034
                    102,                0.38213,                0.22917,                0.77463,                0.96037,                 0.8676,                0.92454,                 0.8474,                 0.2914,                0.18572,                0.78718,               0.003334,               0.003334,               0.003334
                    103,                0.38214,                0.22903,                0.77477,                0.95928,                0.86934,                0.92507,                0.84701,                0.29017,                0.18502,                0.78693,               0.003268,               0.003268,               0.003268
                    104,                0.38018,                0.22644,                0.77419,                0.96027,                0.86664,                0.92445,                0.84669,                0.28974,                0.18497,                0.78649,               0.003202,               0.003202,               0.003202
                    105,                0.37773,                0.22522,                0.77409,                0.96101,                0.86647,                0.92476,                0.84554,                 0.2886,                0.18385,                0.78644,               0.003136,               0.003136,               0.003136
                    106,                0.37557,                0.22317,                0.77332,                0.96171,                0.86723,                0.92527,                0.84629,                0.28572,                0.18202,                0.78622,                0.00307,                0.00307,                0.00307
                    107,                0.37419,                0.22261,                0.77388,                0.96145,                  0.867,                0.92514,                0.84586,                0.28857,                0.18295,                0.78635,               0.003004,               0.003004,               0.003004
                    108,                0.37326,                0.22271,                0.77394,                0.96011,                  0.867,                 0.9251,                0.84586,                0.28858,                0.18289,                0.78592,               0.002938,               0.002938,               0.002938
                    109,                0.37177,                0.22058,                0.77356,                0.96028,                0.86775,                0.92538,                0.84593,                0.28845,                0.18369,                0.78542,               0.002872,               0.002872,               0.002872
